text,lang,id,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
እንደምን አደራችሁ ቤዛ! የ እለቱን ቃል በ ፓስተር ፍቅሬ በላይ እነሆ! በፊታቸው ያለው ተግዳሮት ምንም ያህል ከባድ ቢሆንም ወደ ኋላ መመለስን ግን እንደ አማራጭ አልወሰዱትም!,amh,amh_4a249cbbca6389d5120fe9b556f5ebf2,0,0,0,0,0,0,0,0,0,0,0,0
@USER ተሌግራምን እንደ አማራጭ መጠቀም መልካም ይመስለኛል::,amh,amh_01b5780721c676222b91ec97a797a066,0,0,0,0,0,0,0,0,0,0,0,0
አንደኛው አመት የፕሪቶርያው ስምምነት ምክንያት በማድረግ ከህዝባዊ ወያነ ሓርነት ትግራይ (ህወሓት) የተሰጠ የአቋም መግለጫ,amh,amh_7aabf3f2c41cbd032e6dbf56eccca9d7,0,0,0,0,0,0,0,0,0,0,0,0
ግደል እንዳልልህ.ሃጢያት ነው አውቃለሁ አትግደል አልልህ.ጨካኝ ፍጡር ናቸው ፀሎቴ ጠፍቶብኝ.ቀና ብዬ እያየሁ የፍርድህን በትር . እጠባበቃለሁ!,amh,amh_16df45b84088cd0d09ca4fa3a0e5f35c,0,0,0,0,0,0,0,0,0,0,0,0
አለ ነገር አለ ነገር እንደው አለው ነገር እንዲህ ታመን ታመን አንገት ደፍተን አንቀር አይዞህ #አማራዬ #የኔየዋሁገበሬ #አማራ,amh,amh_a28c14c4242c9387bc7a028cfad19c9f,0,0,0,0,0,0,0,0,0,0,0,0
#ወያኔ ዋጃ ላይ የተከለችው አየር መቃወሚያ ምንም መሥራት አልቻለም ። የወያኔ ጦር ተስፋ እየቆረጠ ግማሹ ሲያፈገፍግ ግማሹ በላስታ ዙሮ አማራን ሊወር ድምቡል ድምቡል እያለ ነው ። መረጃው ወንድወሰን በየነ,amh,amh_856fbe481fbac8d1a3eacc75599fe73c,0,0,0,0,0,0,0,0,0,0,0,0
አመላቸዉ ሸጋ ልባቸዉ ተራራ እነ ምሬ መጡ ሊጨስ ነዉ አቧራ #ዝንትአለም_አማራ #ፋኖ,amh,amh_dd4ff47c7279632835d89f5377c9959b,0,0,0,0,0,0,0,0,0,0,0,0
ኦነግ ሸኔ ግን 27 አመት የት ነበር? ድንገት አሁን ሸኔ ብሎ የመጣው? እውነታው ይህው,amh,amh_4429bb3edd73acea9263c62deb830891,0,0,0,0,0,0,0,0,0,0,0,0
ኦሮሞና አማራ በመሆናችን ፍቅራችን የሚዘልቅ አይመስላቸውም ነበር ሙሉውን ተምሳሌት ዩቱብ ቻናል ላይ ተመልከቱ (በትብብር የቀረበ),amh,amh_0745cdc5fb01d3755970407264633e18,0,0,0,0,0,0,0,0,0,0,0,0
"ፋኖ ከጎጥ ያለፈ፣ ከክልል የገዘፈ፣ ለሀገር የተረፈ፣ የፍትህ አምድ፣ የነጻነት ክንድ ነው!"" - ኘ/ር ምንዳርአለው ዘውዴ",amh,amh_26fe99bffeeb70000eb24e3316c622e7,0,0,0,0,0,0,0,0,0,0,0,0
@USER በማንኛውም ነገር ከጎንህ ነን ብርታ አብይ ካልደፈረሰ አይጠራም,amh,amh_e147dddc9f986192043c22c2b0fed48d,0,0,0,0,0,0,0,0,0,0,0,0
@USER ዘረ መግላም አማራ እመነኝ ከሳምንት በሃላ በጣም እርግጠኛ ነኝ ብዙ ዘሮችህ ይጠፋሉ,amh,amh_bd66d5fc6961efe6a37778111e9e2a19,1,0,1,0,0,0,1,1,0,1,0,0
@USER በአብይ ተልኮ ጎንደር ላይ ወጣቶችን ስታደራጅ ነበረ አይደል የኦሮሚያ ልዩ ሀይል ሂዶ ይዋጋ የአማራን ሕዝብ ተወት አደረጉት እና እራሳቹ ተፋለሙ እስኪ,amh,amh_c70dfb646cff208646172f6e75c1bea1,1,1,1,0,0,0,1,1,0,0,0,0
ጎጃም ላይ ተቀምጦ መተከል ያለውን ኣማራ ቀስት ከታጠቀ የጫካ ሽፍታ ማስጣል ያልቻለ የኣማራ ወታደር እኮ ነው ኣሁን የትግራይ ሰራዊት ኣሸንፋለሁ ብሎ የሚሸልለው። ኣማራ ልናድን ነው ይባልልኛል። #Ethiopia,amh,amh_47dd59435038ba57e76585871a19c3ac,1,1,1,0,0,0,1,1,1,1,1,0
"አሸባሪውን የትህነግ ቡድን ከምድረ ገፅ ማጥፋት አለብን"" ብርጋዴር ጄኔራል ተፈራ ማሞ",amh,amh_d496874e098b0faf3d39bc5fea89166a,1,1,0,0,0,0,0,1,0,1,0,1
@USER #ሰይጣንም_እኮ_ጮኾ ነው የሚወጣው ኤላ እነሱን ተዋቸው,amh,amh_e661d070ad0d7e510ebb75cbb6b47735,1,1,0,0,0,0,0,0,1,0,0,0
@USER ትህነግን ማጥፋት ከመቀደስ በላይ መባረክ ነው,amh,amh_aa9594d36800cde5e376ed6c78470309,1,1,1,0,0,0,1,1,0,1,0,0
የወያኔ እብሪት እንደ ፊኛ ሳይተነፍስ እሳት ውስጥ እንደገባ ቅቤ ሳይቀልጥ ደብረፂዮንና ግብረአበሮቹ ከአፍ መሸፈኛ ማስካቸው ጋር እንደ አፋር ግመል በሰልፍ በገመድ ታስረው ለፍርድ ሳይቀርቡ መላቀቅ የለም። ??,amh,amh_57faa00f3f5ef0dbb6ec23822cafdcf1,1,1,0,0,0,0,0,1,1,1,0,0
