text,lang,id,political,racial/ethnic,religious,gender/sexual,vilification,dehumanization,extreme_language,lack_of_empathy,stereotype,invalidation,other,polarization
The EU is increasing military aid to Ukraine to one billion euros the press release on the website of the Council of Europe.,eng,eng_dbcee818b240e8ea82a37e5530738aa7,0,0,0,0,0,0,0,0,0,0,0,0
House drafts bill to strike Iran proxies amid IsraelHamas,eng,eng_0fe6a37502da8f89af480449d5352c7f,0,0,0,0,0,0,0,0,0,0,0,0
Contested races across county early voting,eng,eng_8cec277cafb320e79bf8ed5632529b9d,0,0,0,0,0,0,0,0,0,0,0,0
Dem bill would hold West Bank settlers accountable for violence Doubt it,eng,eng_b1493ef1e1a5e3109d8a211a28283ee8,0,0,0,0,0,0,0,0,0,0,0,0
Local woman gets a death threat after flying Trump MAGA,eng,eng_a5f34a5db504fc4801152156897b2c4d,0,0,0,0,0,0,0,0,0,0,0,0
"Unmask ChildrenParents rights, energy, and border security.",eng,eng_e64dd63e2617db24911756703daab1e5,0,0,0,0,0,0,0,0,0,0,0,0
All in the Family: Sheriff's Son Is New DPS Officer,eng,eng_4b0f94e8114dea01d392718b9155ffca,0,0,0,0,0,0,0,0,0,0,0,0
"The House passed another 40B military aid package to Ukraine, wheres the money coming from?????",eng,eng_e80c2aecafed1214a46fe717849d4a3f,0,0,0,0,0,0,0,0,0,0,0,0
Republicans weigh expelling Matt Gaetz after booting,eng,eng_843d17145a0ce9d2f24b5edee13bf07f,0,0,0,0,0,0,0,0,0,0,0,0
Find yourself a west bank settler gf,eng,eng_face0db614834c005d03b3f41a56a317,1,0,0,1,1,0,0,0,1,0,0,1
Fascist oligarchs now control the USA,eng,eng_d64ce581999394ad8671158997d519e2,1,0,0,0,1,0,1,0,0,0,0,1
Someone end this lunatic before he starts ethnic cleansing,eng,eng_e1b7927c76815ff63828dbe2843ad332,1,1,0,0,1,0,1,0,1,0,0,1
Hi apartheid state the one and only remaining 1.,eng,eng_8193da8f814c3173b58f21e0c22b12bd,1,1,0,0,1,0,0,1,0,0,0,1
"When I hear things like ""stooge for Russian aggression"" I know who the real stooge is",eng,eng_8e68a7bcc441b11607d43610e9aaa674,1,0,0,0,1,0,0,1,1,1,1,1
Its no coincidence that today because of these progressive policies we now have an open air drug market. Hmmmm,eng,eng_7e428780a79c97c3962859653d5ab4fc,1,0,0,0,1,0,0,0,0,1,0,1
Go to democrats and sabotage democrats.,eng,eng_e5f7bbe9819815896375867f1e16b30c,1,0,0,0,0,0,1,0,0,0,0,1
"Does that cover lies about a stolen election, Gym?",eng,eng_e4ad4dcd3f8aecd9aa574e5d8c931b6c,1,0,0,0,0,0,0,1,0,1,0,1
Apparently the Hamas attack was the weathers fault.,eng,eng_35a04a21a59c23f14cd1487562c8601f,1,1,0,0,1,1,0,0,0,1,0,1
November 3rd was a stolen election,eng,eng_02fdc210c75b2ec254444748b32406bb,1,0,0,0,0,0,1,0,0,1,0,1
Defund the Castleton Police Department DefundThePolice,eng,eng_adb1551027c430f08591f12c666f682a,1,0,0,0,0,0,1,0,0,0,0,1
guerra? que guerra? es una invasion,spa,spa_a030ad2aac1640b3a98391b493ed8fbd,0,0,0,0,0,0,0,0,0,0,0,0
"fake, el personaje es de ascendencia judia",spa,spa_91344d487dc61131938f2d55f945b587,0,0,0,0,0,0,0,0,0,0,0,0
guerra mundial? solo hay paises en guerra no es mundial.,spa,spa_f83d7c4f77374c71d7158c76d2286218,0,0,0,0,0,0,0,0,0,0,0,0
"cierto, porque tenian un presidente decente y el lobby judio era precisamente el perseguido.",spa,spa_5adf74a88b68c5ee6ecd87e001fa9346,0,0,0,0,0,0,0,0,0,0,0,0
normal si tu es un musulman,spa,spa_545374cd79f6fb29be74bfeb70110eb9,0,0,0,0,0,0,0,0,0,0,0,0
la escuela feminista de pintura,spa,spa_4c6ccdc656f725b2cf621cfd216589e3,0,0,0,0,0,0,0,0,0,0,0,0
la cancion que me representa ahora que estoy deportado de los estados unidos.,spa,spa_8fa90720a705f56696662142e5dbeb0a,0,0,0,0,0,0,0,0,0,0,0,0
"claudia es judia, que no manche",spa,spa_fe0ab7d136c6bf3dd599f26046c4e55b,0,0,0,0,0,0,0,0,0,0,0,0
"cualquier guerra es ridicula.
cualquier guerra mundial es mundialmente ridicula.",spa,spa_abe7670e9f89bd111bae37c19861b535,0,0,0,0,0,0,0,0,0,0,0,0
alguien mas ha leido zorra con patatas?,spa,spa_68df635f9c7e1e7b5c23dc34e34cb524,0,0,0,0,0,0,0,0,0,0,0,0
"aypordios que llorera. martinez ares, feminista del ano ya.",spa,spa_c8d2df5438d47454f111ebb59b913dbd,1,0,0,1,1,0,0,1,0,0,0,1
"desde que me entere que ese termino ""toxico algo"" es una invencion evangelica ya no lo uso, cuidado que esconde discursos de odio",spa,spa_10cbf64b67679865c1613ea9ae6b7aa6,1,0,1,0,1,0,0,0,1,0,0,1
cualquier vago se hace pastor evangelico,spa,spa_09640b2f43e678e7bc6b0235e3630ecf,0,0,1,0,1,0,0,0,1,0,1,1
la reina de la corrupcion!,spa,spa_485e691e2c03ff591abc2d15b6ec53a0,1,0,0,0,1,0,0,0,0,1,1,1
a vos? trolita evangelica,spa,spa_4f3bd04235b739571ffd89d201ea23ab,0,0,1,0,1,0,0,0,0,0,0,1
"argentino y judio, bastante castigo de dios tienes tu ya.",spa,spa_c93249fc5ffeec389d061df56ad065f5,1,1,1,0,1,0,0,0,1,0,0,1
tan enfermo estas . indio,spa,spa_69cb5d95af9aa1b27f47f369606c5eb0,0,1,0,0,1,0,0,1,1,0,0,1
judio zionista traidor de cristo sos el anticristo.,spa,spa_41e6c71aed1b1de00fb1489d643120ad,1,1,1,0,1,0,1,0,1,0,0,1
orgulloso de sacarle la conchetumare a un pastor evangelico por meterse en weas que no debia.,spa,spa_1eee8fa1b9a108964a14e7b76ea8d6bb,0,0,1,0,1,1,1,0,0,0,0,1
la zorra al cuidado de las gallinas. pais de mierda.,spa,spa_eb39eaf1ee83e429b4de1e567509e8ac,1,0,0,1,1,1,1,0,1,0,1,1
@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,eng,hasoc_en_2,0,0,0,0,0,0,0,0,0,0,0,0
@cricketworldcup Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @ICC,eng,hasoc_en_3,0,0,0,0,0,0,0,0,0,0,0,0
Corbyn is too politically intellectual for #BorisJohnsonShouldNotBePM   Can't wait   #GeneralElectionNow https://t.co/pt8KmjfxJj,eng,hasoc_en_4,0,0,0,0,0,0,0,0,0,0,0,0
All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/MG2cIE0zib,eng,hasoc_en_5,0,0,0,0,0,0,0,0,0,0,0,0
